,zpid_of_the_house,place name,category
331,25763330,Sheep Hills Park,park
332,25763330,Woodfield Park,park
333,25763330,Crestview Park,park
334,25763330,Aliso Viejo Middle School,school
335,25763330,Aliso Viejo Community Park,park
336,25763330,Aliso Viejo Ranch,park
337,25763330,Springdale Park,park
338,25763330,Iglesia Park,park
339,25763330,Glenbrook Park,park
340,25763330,Argonaut Park,park
341,25763330,Pinewood Park,park
342,25763330,Ridgecrest Park,park
343,25763330,Wingspan Park,park
344,25763330,Aliso Creek Park and Wildlife Sanctuary,park
345,25763330,Don Juan Avila Elementary School,school
346,25543050,Aliso and Wood Canyons Wilderness Park,park
348,25543050,Laguna Coast Wilderness Park,park
350,25543050,Hummingbird Park,park
351,25543050,James Dilley Greenbelt Preserve,park
353,25543050,Canyon View Park,park
354,25543050,Ridgecrest Park,park
355,25543050,Wingspan Park,park
356,25763310,Aliso and Wood Canyons Wilderness Park,park
358,25763310,Laguna Hills High School,school
359,25763310,Brookline Park,park
360,25763310,Creekside Park,park
361,25763310,Sheep Hills Park,park
362,25763310,Crestview Park,park
363,25763310,Aliso Viejo Middle School,school
364,25763310,Aliso Viejo Community Park,park
365,25763310,Aliso Viejo Ranch,park
366,25763310,Iglesia Park,park
367,25763310,Glenbrook Park,park
368,25763310,Argonaut Park,park
369,25763310,Pinewood Park,park
370,25763310,Ridgecrest Park,park
371,25763310,Wingspan Park,park
372,25763310,Aliso Creek Park and Wildlife Sanctuary,park
373,25763310,Don Juan Avila Elementary School,school
374,25763310,Glenwood Park,park
375,25763310,Vantis,park
376,25763310,Aliso Viejo,park
377,25710975,Aliso and Wood Canyons Wilderness Park,park
379,25710975,Trader Joe's,grocery store
380,25710975,Laguna Hills High School,school
381,25710975,Brookline Park,park
382,25710975,Creekside Park,park
383,25710975,Sheep Hills Park,park
384,25710975,Woodfield Park,park
385,25710975,Crestview Park,park
386,25710975,Grand Park,park
387,25710975,Aliso Viejo Middle School,school
388,25710975,Aliso Viejo Community Park,park
389,25710975,Aliso Viejo Ranch,park
390,25710975,Springdale Park,park
391,25710975,Glenbrook Park,park
392,25710975,Argonaut Park,park
393,25710975,Pinewood Park,park
394,25710975,Ridgecrest Park,park
395,25710975,Wingspan Park,park
396,25710975,Don Juan Avila Elementary School,school
397,25710975,Glenwood Park,park
398,2069355074,Aliso and Wood Canyons Wilderness Park,park
400,2069355074,Trader Joe's,grocery store
401,2069355074,Laguna Hills High School,school
402,2069355074,Brookline Park,park
403,2069355074,Creekside Park,park
404,2069355074,Sheep Hills Park,park
405,2069355074,Woodfield Park,park
406,2069355074,Crestview Park,park
407,2069355074,Grand Park,park
408,2069355074,Aliso Viejo Middle School,school
409,2069355074,Aliso Viejo Community Park,park
410,2069355074,Aliso Viejo Ranch,park
411,2069355074,Springdale Park,park
412,2069355074,Glenbrook Park,park
413,2069355074,Argonaut Park,park
414,2069355074,Pinewood Park,park
415,2069355074,Ridgecrest Park,park
416,2069355074,Wingspan Park,park
417,2069355074,Don Juan Avila Elementary School,school
418,2069355074,Glenwood Park,park
419,25773115,Aliso Niguel High School,school
420,25773115,Walmart Supercenter,grocery store
421,25773115,Aliso and Wood Canyons Wilderness Park,park
423,25773115,Journey School,school
424,25773115,Trader Joe's,grocery store
425,25773115,Costco,grocery store
426,25773115,Stater Bros.,grocery store
427,25773115,Pavilions,grocery store
428,25773115,Creekside Park,park
429,25773115,Woodfield Park,park
430,25773115,Crestview Park,park
431,25773115,Grand Park,park
432,25773115,Ralphs,grocery store
433,25773115,Aliso Viejo Middle School,school
434,25773115,Aliso Viejo Community Park,park
435,25773115,Aliso Viejo Ranch,park
436,25773115,Springdale Park,park
437,25773115,Foxborough Park,park
438,25773115,Hillview Park,park
439,25773115,Mandeville Park,park
440,25761631,Aliso and Wood Canyons Wilderness Park,park
442,25761631,Trader Joe's,grocery store
443,25761631,Laguna Hills High School,school
444,25761631,Brookline Park,park
445,25761631,Creekside Park,park
446,25761631,Sheep Hills Park,park
447,25761631,Woodfield Park,park
448,25761631,Crestview Park,park
449,25761631,Aliso Viejo Middle School,school
450,25761631,Aliso Viejo Community Park,park
451,25761631,Aliso Viejo Ranch,park
452,25761631,Springdale Park,park
453,25761631,Iglesia Park,park
454,25761631,Glenbrook Park,park
455,25761631,Argonaut Park,park
456,25761631,Pinewood Park,park
457,25761631,Ridgecrest Park,park
458,25761631,Wingspan Park,park
459,25761631,Laguna Hills Community Center & Sports Complex,park
460,25761631,Aliso Creek Park and Wildlife Sanctuary,park
461,25544649,Aliso and Wood Canyons Wilderness Park,park
463,25544649,Laguna Coast Wilderness Park,park
465,25544649,Hummingbird Park,park
466,25544649,Brookline Park,park
467,25544649,James Dilley Greenbelt Preserve,park
469,25544649,Canyon View Park,park
470,25544649,Iglesia Park,park
471,25544649,Glenbrook Park,park
472,25544649,Argonaut Park,park
473,25544649,Pinewood Park,park
474,25544649,Ridgecrest Park,park
475,25544649,Wingspan Park,park
476,25544649,Don Juan Avila Elementary School,school
477,25544649,Glenwood Park,park
478,25544649,Aliso Viejo,park
481,25710138,ALDI,grocery store
482,25710138,Aliso and Wood Canyons Wilderness Park,park
484,25710138,Laguna Hills High School,school
485,25710138,Mother's Market,grocery store
486,25710138,Brookline Park,park
487,25710138,Creekside Park,park
488,25710138,Sheep Hills Park,park
489,25710138,Crestview Park,park
490,25710138,Iglesia Park,park
491,25710138,Glenbrook Park,park
492,25710138,Argonaut Park,park
493,25710138,Pinewood Park,park
494,25710138,Ridgecrest Park,park
495,25710138,Wingspan Park,park
496,25710138,Aliso Creek Park and Wildlife Sanctuary,park
497,25710138,Glenwood Park,park
498,25710138,Aliso Creek Open Space,park
499,25710138,Stater Bros.,grocery store
500,25710138,Aliso Viejo,park
502,25773114,Aliso Niguel High School,school
503,25773114,Walmart Supercenter,grocery store
504,25773114,Aliso and Wood Canyons Wilderness Park,park
506,25773114,Journey School,school
507,25773114,Trader Joe's,grocery store
508,25773114,Costco,grocery store
509,25773114,Stater Bros.,grocery store
510,25773114,Pavilions,grocery store
511,25773114,Creekside Park,park
512,25773114,Woodfield Park,park
513,25773114,Crestview Park,park
514,25773114,Grand Park,park
515,25773114,Ralphs,grocery store
516,25773114,Aliso Viejo Middle School,school
517,25773114,Aliso Viejo Community Park,park
518,25773114,Aliso Viejo Ranch,park
519,25773114,Springdale Park,park
520,25773114,Foxborough Park,park
521,25773114,Hillview Park,park
522,25773114,Mandeville Park,park
523,25542782,Aliso and Wood Canyons Wilderness Park,park
525,25542782,Laguna Hills High School,school
526,25542782,Brookline Park,park
527,25542782,Creekside Park,park
528,25542782,Sheep Hills Park,park
529,25542782,Crestview Park,park
530,25542782,Aliso Viejo Middle School,school
531,25542782,Aliso Viejo Community Park,park
532,25542782,Aliso Viejo Ranch,park
533,25542782,Iglesia Park,park
534,25542782,Glenbrook Park,park
535,25542782,Argonaut Park,park
536,25542782,Pinewood Park,park
537,25542782,Ridgecrest Park,park
538,25542782,Wingspan Park,park
539,25542782,Laguna Hills Community Center & Sports Complex,park
540,25542782,Aliso Creek Park and Wildlife Sanctuary,park
541,25542782,Glenwood Park,park
542,25542782,Aliso Viejo,park
544,25543994,Aliso and Wood Canyons Wilderness Park,park
546,25543994,Laguna Coast Wilderness Park,park
