,zpid_of_the_house,place name,category
31421,25697143,Randall Preserve,park
31423,25697143,Brethren Christian Junior-Senior High School,school
31424,25697143,Pomona Elementary School,school
31425,25697143,Talbert Regional Park,park
31426,25697143,Fairview Park,park
31427,25697143,Christ Lutheran Church,school
31429,25697143,Smart & Final,grocery store
31430,25697143,Gisler Park,park
31431,25697143,Canyon Park,park
31432,25697143,Marina View Park,park
31433,25697143,Seeley Park,park
31435,25697143,Vista Park,park
31436,25697143,Victoria Elementary School,school
31437,25697143,Waldorf School of Orange County,school
31438,25697143,Wilson Elementary School,school
31439,25697143,Costa Mesa,park
31440,25697143,,park
31442,25496309,Sherman Library & Gardens,park
31444,25496309,Bristol Farms,grocery store
31445,25496309,Civic Center Park,park
31446,25496309,Buck Gully Reserve,park
31448,25496309,Crystal Cove State Marine Conservation Area,park
31450,25496309,Bayside Dr Park,park
31451,25496309,Begonia Park,park
31452,25496309,San Joaquin Hills Park & Lawn Bowling Center,park
31453,25496309,Buffalo Hills Park,park
31454,25496309,Grant Howald Park,park
31455,25496309,Harbor View Nature Park,park
31456,25496309,Old School Park,park
31457,25496309,Abraham Lincoln Elementary School,school
31458,25496309,Harbor View Elementary School,school
31459,25496309,Mothers Market,grocery store
31460,25496309,Gelson's,grocery store
31461,25496309,Jasmine View Park,park
31462,25496309,Lookout Point,park
31463,25496309,Inspiration Point,park
31464,25496309,Irvine Terrace,park
31465,25496233,Sherman Library & Gardens,park
31467,25496233,Bristol Farms,grocery store
31468,25496233,Civic Center Park,park
31469,25496233,Buck Gully Reserve,park
31471,25496233,Bayside Dr Park,park
31472,25496233,Begonia Park,park
31473,25496233,San Joaquin Hills Park & Lawn Bowling Center,park
31474,25496233,Buffalo Hills Park,park
31475,25496233,Grant Howald Park,park
31476,25496233,Harbor View Nature Park,park
31477,25496233,Old School Park,park
31478,25496233,San Miguel Park,park
31479,25496233,Spyglass Hill Park,park
31480,25496233,Abraham Lincoln Elementary School,school
31481,25496233,Harbor View Elementary School,school
31482,25496233,Mothers Market,grocery store
31483,25496233,Gelson's,grocery store
31484,25496233,Jasmine View Park,park
31485,25496233,Fashion Island,park
31486,25711727,Pavilions,grocery store
31487,25711727,Vista Bonita Park,park
31488,25711727,Los Trancos Recreation Area,park
31489,25711727,Buffalo Hills Park,park
31490,25711727,San Miguel Park,park
31491,25711727,Bonita Canyon Sports Park West,park
31492,25711727,Bonita Canyon Sports Park,park
31493,25711727,Roy O Anderson Elementary School,school
31495,25711727,Garden Park,park
31496,25711727,Agave Park,park
31497,25711727,Meadow Park,park
31498,25711727,Newport Beach,park
31500,25711727,University Hills,park
31501,25711727,University of California,park
31502,25711727,Newport Coast,park
31504,25711727,,park
31508,25496117,Las Lomas Community Park,park
31509,25496117,Pavilions,grocery store
31510,25496117,Vista Bonita Park,park
31511,25496117,Buffalo Hills Park,park
31512,25496117,San Miguel Park,park
31513,25496117,Spyglass Hill Park,park
31514,25496117,Bonita Canyon Sports Park West,park
31515,25496117,Bonita Canyon Sports Park,park
31516,25496117,Roy O Anderson Elementary School,school
31518,25496117,Garden Park,park
31519,25496117,Agave Park,park
31520,25496117,Meadow Park,park
31521,25496117,Newport Beach,park
31523,25496117,University Hills,park
31524,25496117,Newport Coast,park
31527,25496117,,park
31529,25728036,Pavilions,grocery store
31530,25728036,Buffalo Hills Park,park
31531,25728036,Harbor View Nature Park,park
31532,25728036,San Miguel Park,park
31533,25728036,Spyglass Hill Park,park
31534,25728036,Bonita Canyon Sports Park West,park
31535,25728036,Bonita Canyon Sports Park,park
31536,25728036,Roy O Anderson Elementary School,school
31538,25728036,Agave Park,park
31539,25728036,Meadow Park,park
31540,25728036,Newport Beach,park
31541,25728036,Newport Coast,park
31543,25728036,,park
31545,25137636,Pavilions,grocery store
31546,25137636,Begonia Park,park
31547,25137636,Peninsula Park,park
31548,25137636,Back Bay View Park,park
31549,25137636,Olive Oil and Beyond,grocery store
31550,25137636,Balboa Peninsula,park
31551,25137636,Balboa Island,park
31552,25137636,Irvine Terrace,park
31555,25137636,,park
31557,25711751,Las Lomas Community Park,park
31558,25711751,Pavilions,grocery store
31559,25711751,Vista Bonita Park,park
31560,25711751,Buffalo Hills Park,park
31561,25711751,San Miguel Park,park
31562,25711751,Spyglass Hill Park,park
31563,25711751,Bonita Canyon Sports Park West,park
31564,25711751,Bonita Canyon Sports Park,park
31565,25711751,Roy O Anderson Elementary School,school
31567,25711751,Garden Park,park
31568,25711751,Agave Park,park
31569,25711751,Meadow Park,park
31570,25711751,Newport Beach,park
31572,25711751,University Hills,park
31573,25711751,Newport Coast,park
31575,25711751,,park
31577,25134646,Pavilions,grocery store
31578,25134646,Newport Elementary,school
31579,25134646,Marina Park,park
31580,25134646,Peninsula Park,park
31581,25134646,Veterans Memorial Park,park
31582,25134646,Back Bay View Park,park
31583,25134646,Balboa Island,park
31584,25134646,Balboa Peninsula,park
31586,25134646,,park
31595,25494129,Sherman Library & Gardens,park
31597,25494129,Bristol Farms,grocery store
31598,25494129,Whole Foods Market,grocery store
31599,25494129,Civic Center Park,park
31600,25494129,Buck Gully Reserve,park
31602,25494129,Bayside Dr Park,park
31603,25494129,Begonia Park,park
31604,25494129,San Joaquin Hills Park & Lawn Bowling Center,park
31605,25494129,Buffalo Hills Park,park
31606,25494129,Grant Howald Park,park
31607,25494129,Harbor View Nature Park,park
31608,25494129,Old School Park,park
31609,25494129,San Miguel Park,park
31610,25494129,Abraham Lincoln Elementary School,school
31611,25494129,Harbor View Elementary School,school
31612,25494129,Mothers Market,grocery store
31613,25494129,Gelson's,grocery store
31614,25494129,Jasmine View Park,park
31615,25494129,Irvine Terrace,park
31616,25494129,Fashion Island,park
31617,25496544,Sherman Library & Gardens,park
31619,25496544,Bristol Farms,grocery store
31620,25496544,Whole Foods Market,grocery store
31621,25496544,Civic Center Park,park
31622,25496544,Buck Gully Reserve,park
31624,25496544,Bayside Dr Park,park
31625,25496544,Begonia Park,park
31626,25496544,San Joaquin Hills Park & Lawn Bowling Center,park
31627,25496544,Buffalo Hills Park,park
31628,25496544,Grant Howald Park,park
31629,25496544,Harbor View Nature Park,park
31630,25496544,Old School Park,park
31631,25496544,San Miguel Park,park
31632,25496544,Spyglass Hill Park,park
31633,25496544,Abraham Lincoln Elementary School,school
31634,25496544,Harbor View Elementary School,school
31635,25496544,Mothers Market,grocery store
31636,25496544,Gelson's,grocery store
31637,25496544,Jasmine View Park,park
31638,25496544,Irvine Terrace,park
31639,25697192,Whittier Elementary School,school
31640,25697192,Estancia High School,school
31641,25697192,Randall Preserve,park
31643,25697192,Brethren Christian Junior-Senior High School,school
31644,25697192,Pomona Elementary School,school
31645,25697192,Rea Elementary School,school
31646,25697192,Talbert Regional Park,park
31647,25697192,Fairview Park,park
31648,25697192,Christ Lutheran Church,school
31650,25697192,Smart & Final,grocery store
31651,25697192,Gisler Park,park
31652,25697192,Canyon Park,park
31653,25697192,Marina View Park,park
31654,25697192,Seeley Park,park
31656,25697192,Vista Park,park
31657,25697192,Victoria Elementary School,school
31658,25697192,Waldorf School of Orange County,school
31659,25697192,Wilson Elementary School,school
31660,25697192,Costa Mesa,park
31661,2134138437,Whittier Elementary School,school
31662,2134138437,Estancia High School,school
31663,2134138437,Randall Preserve,park
31665,2134138437,Brethren Christian Junior-Senior High School,school
31666,2134138437,Pomona Elementary School,school
31667,2134138437,Talbert Regional Park,park
31668,2134138437,Fairview Park,park
31669,2134138437,Christ Lutheran Church,school
31671,2134138437,Smart & Final,grocery store
31672,2134138437,Gisler Park,park
31673,2134138437,Canyon Park,park
31674,2134138437,Marina View Park,park
31675,2134138437,Seeley Park,park
31677,2134138437,Vista Park,park
31678,2134138437,Victoria Elementary School,school
31679,2134138437,Waldorf School of Orange County,school
31680,2134138437,Wilson Elementary School,school
31681,2134138437,Costa Mesa,park
31682,2134138437,,park
31684,25480265,Whole Foods Market,grocery store
31685,25480265,Corona del Mar High School,school
31686,25480265,Civic Center Park,park
31687,25480265,Buffalo Hills Park,park
31688,25480265,Harbor View Nature Park,park
31689,25480265,San Miguel Park,park
31690,25480265,Bonita Canyon Sports Park West,park
31691,25480265,Bonita Canyon Sports Park,park
31692,25480265,Gelson's,grocery store
31693,25480265,Roy O Anderson Elementary School,school
31695,25480265,Newport Beach,park
31699,25480265,Fashion Island,park
31700,25480265,,park
31702,25690862,Sherman Library & Gardens,park
31704,25690862,Bristol Farms,grocery store
31705,25690862,Civic Center Park,park
31706,25690862,Buck Gully Reserve,park
31708,25690862,Crystal Cove State Marine Conservation Area,park
31710,25690862,Bayside Dr Park,park
31711,25690862,Begonia Park,park
31712,25690862,San Joaquin Hills Park & Lawn Bowling Center,park
31713,25690862,Jetty View Park,park
31714,25690862,Grant Howald Park,park
31715,25690862,Old School Park,park
31716,25690862,Harbor View Elementary School,school
31717,25690862,Mothers Market,grocery store
31718,25690862,Jasmine View Park,park
31719,25690862,Lookout Point,park
31720,25690862,Inspiration Point,park
31721,25690862,Olive Oil and Beyond,grocery store
31722,25690862,Balboa Peninsula,park
31723,25690862,Irvine Terrace,park
31725,25496022,Buck Gully Reserve,park
31727,25496022,Pavilions,grocery store
31728,25496022,San Joaquin Hills Park & Lawn Bowling Center,park
31729,25496022,Buffalo Hills Park,park
31730,25496022,Harbor View Nature Park,park
31731,25496022,San Miguel Park,park
31732,25496022,Spyglass Hill Park,park
31733,25496022,Abraham Lincoln Elementary School,school
31734,25496022,Bonita Canyon Sports Park,park
31735,25496022,Gelson's,grocery store
31736,25496022,Roy O Anderson Elementary School,school
31738,25496022,Newport Coast,park
31741,25478818,Corona del Mar High School,school
31742,25478818,Bonita Creek Park,park
31743,25478818,Upper Newport Bay Nature Preserve,park
31744,25478818,Volleyball BBQ Park,park
31745,25478818,Newport Beach,park
31746,25478818,,school
31750,25478818,University Research Center,park
31751,25496054,Pavilions,grocery store
31752,25496054,Buffalo Hills Park,park
31753,25496054,Harbor View Nature Park,park
31754,25496054,San Miguel Park,park
31755,25496054,Spyglass Hill Park,park
31756,25496054,Abraham Lincoln Elementary School,school
31757,25496054,Bonita Canyon Sports Park West,park
31758,25496054,Bonita Canyon Sports Park,park
31759,25496054,Roy O Anderson Elementary School,school
31761,25496054,Agave Park,park
31762,25496054,Newport Beach,park
31764,25496054,Newport Coast,park
31766,25496054,,park
31768,25495488,Whole Foods Market,grocery store
31769,25495488,Civic Center Park,park
31770,25495488,Buck Gully Reserve,park
31772,25495488,Pavilions,grocery store
31773,25495488,San Joaquin Hills Park & Lawn Bowling Center,park
31774,25495488,Buffalo Hills Park,park
31775,25495488,Harbor View Nature Park,park
31776,25495488,San Miguel Park,park
31777,25495488,Spyglass Hill Park,park
31778,25495488,Abraham Lincoln Elementary School,school
31779,25495488,Harbor View Elementary School,school
31780,25495488,Bonita Canyon Sports Park West,park
31781,25495488,Bonita Canyon Sports Park,park
31782,25495488,Gelson's,grocery store
31783,25495488,Jasmine View Park,park
31784,25495488,Roy O Anderson Elementary School,school
31786,25495488,Fashion Island,park
31787,25495488,,park
31789,25498601,Buck Gully Reserve,park
31791,25498601,San Joaquin Hills Park & Lawn Bowling Center,park
31792,25498601,Buffalo Hills Park,park
31793,25498601,Harbor View Nature Park,park
31794,25498601,San Miguel Park,park
31795,25498601,Spyglass Hill Park,park
31796,25498601,Abraham Lincoln Elementary School,school
31797,25498601,Gelson's,grocery store
31798,25498601,Roy O Anderson Elementary School,school
31800,25498601,Newport Coast,park
31803,25730512,Pavilions,grocery store
31804,25730512,Ensign Intermediate School,school
31805,25730512,West Newport Park,park
31806,25730512,Vons,grocery store
31807,25730512,Randall Preserve,park
31809,25730512,Sunset Ridge Park,park
31810,25730512,Sunset View Park,park
31811,25730512,38th Street Park,park
31812,25730512,Lido Park,park
31813,25730512,Trader Joe's,grocery store
31814,25730512,Heller Park,park
31815,25730512,Cliff Drive Park,park
31816,25730512,Newport Heights Elementary School,school
31817,25730512,Bolsa Park,park
31818,25730512,Memorial Butterfly Garden,park
31820,25730512,Newport Shores Park,park
31821,25730512,Channel Park,park
31822,25730512,Tree Of Life Park,park
31823,25730512,John Wayne Park,park
31824,25730512,,park
31826,25495667,Sherman Library & Gardens,park
31828,25495667,Bristol Farms,grocery store
31829,25495667,Whole Foods Market,grocery store
31830,25495667,Civic Center Park,park
31831,25495667,Buck Gully Reserve,park
31833,25495667,Bayside Dr Park,park
31834,25495667,Begonia Park,park
31835,25495667,San Joaquin Hills Park & Lawn Bowling Center,park
31836,25495667,Buffalo Hills Park,park
31837,25495667,Grant Howald Park,park
31838,25495667,Harbor View Nature Park,park
31839,25495667,Old School Park,park
31840,25495667,Abraham Lincoln Elementary School,school
31841,25495667,Harbor View Elementary School,school
31842,25495667,Mothers Market,grocery store
31843,25495667,Gelson's,grocery store
31844,25495667,Jasmine View Park,park
31845,25495667,Lookout Point,park
31846,25495667,Inspiration Point,park
31847,25495667,Irvine Terrace,park
31848,25730547,Pavilions,grocery store
31849,25730547,Ensign Intermediate School,school
31850,25730547,West Newport Park,park
31851,25730547,Vons,grocery store
31852,25730547,Randall Preserve,park
31854,25730547,Sunset Ridge Park,park
31855,25730547,Sunset View Park,park
31856,25730547,38th Street Park,park
31857,25730547,Lido Park,park
31858,25730547,Trader Joe's,grocery store
31859,25730547,Heller Park,park
31860,25730547,Cliff Drive Park,park
31861,25730547,Newport Heights Elementary School,school
31862,25730547,Bolsa Park,park
31863,25730547,Memorial Butterfly Garden,park
31865,25730547,Newport Shores Park,park
31866,25730547,Channel Park,park
31867,25730547,Tree Of Life Park,park
31868,25730547,John Wayne Park,park
31869,25730547,,park
31871,25496438,Civic Center Park,park
31872,25496438,Buck Gully Reserve,park
31874,25496438,Pavilions,grocery store
31875,25496438,San Joaquin Hills Park & Lawn Bowling Center,park
31876,25496438,Buffalo Hills Park,park
31877,25496438,Harbor View Nature Park,park
31878,25496438,San Miguel Park,park
31879,25496438,Spyglass Hill Park,park
31880,25496438,Abraham Lincoln Elementary School,school
31881,25496438,Bonita Canyon Sports Park West,park
31882,25496438,Bonita Canyon Sports Park,park
31883,25496438,Gelson's,grocery store
31884,25496438,Roy O Anderson Elementary School,school
31886,25496438,Fashion Island,park
31887,2054266309,Sherman Library & Gardens,park
31889,2054266309,Bristol Farms,grocery store
31890,2054266309,Civic Center Park,park
31891,2054266309,Buck Gully Reserve,park
31893,2054266309,Crystal Cove State Marine Conservation Area,park
31895,2054266309,Bayside Dr Park,park
31896,2054266309,Begonia Park,park
31897,2054266309,San Joaquin Hills Park & Lawn Bowling Center,park
31898,2054266309,Jetty View Park,park
31899,2054266309,Grant Howald Park,park
31900,2054266309,Old School Park,park
31901,2054266309,Harbor View Elementary School,school
31902,2054266309,Mothers Market,grocery store
31903,2054266309,Jasmine View Park,park
31904,2054266309,Lookout Point,park
31905,2054266309,Inspiration Point,park
31906,2054266309,Olive Oil and Beyond,grocery store
31907,2054266309,Balboa Peninsula,park
31908,2054266309,Irvine Terrace,park
31910,25137684,Pavilions,grocery store
31911,25137684,Begonia Park,park
31912,25137684,Jetty View Park,park
31913,25137684,Peninsula Park,park
31914,25137684,Back Bay View Park,park
31915,25137684,Olive Oil and Beyond,grocery store
31916,25137684,Balboa Peninsula,park
31917,25137684,Balboa Island,park
31918,25137684,Irvine Terrace,park
31921,25137684,,park
31923,25730382,Pavilions,grocery store
31924,25730382,Ensign Intermediate School,school
31925,25730382,West Newport Park,park
31926,25730382,Randall Preserve,park
31928,25730382,Sunset Ridge Park,park
31929,25730382,Sunset View Park,park
31930,25730382,38th Street Park,park
31931,25730382,Lido Park,park
31932,25730382,Heller Park,park
31933,25730382,Cliff Drive Park,park
31934,25730382,Newport Heights Elementary School,school
31935,25730382,Bolsa Park,park
31936,25730382,Memorial Butterfly Garden,park
31938,25730382,Newport Shores Park,park
31939,25730382,Channel Park,park
31940,25730382,Tree Of Life Park,park
31941,25730382,John Wayne Park,park
31942,25730382,,park
31944,25730382,Newport Heights,park
31945,25730382,Balboa Peninsula,park
31946,25730462,Pavilions,grocery store
31947,25730462,West Newport Park,park
31948,25730462,Vons,grocery store
31949,25730462,Randall Preserve,park
31951,25730462,Sunset Ridge Park,park
31952,25730462,Sunset View Park,park
31953,25730462,38th Street Park,park
31954,25730462,Lido Park,park
31955,25730462,Trader Joe's,grocery store
31956,25730462,Heller Park,park
31957,25730462,Cliff Drive Park,park
31958,25730462,Newport Heights Elementary School,school
31959,25730462,Bolsa Park,park
31960,25730462,Memorial Butterfly Garden,park
31962,25730462,Newport Shores Park,park
31963,25730462,Channel Park,park
31964,25730462,Tree Of Life Park,park
31965,25730462,John Wayne Park,park
31966,25730462,,park
31968,25730462,Costa Mesa,park
31969,2053551166,Pavilions,grocery store
31970,2053551166,Ensign Intermediate School,school
31971,2053551166,West Newport Park,park
31972,2053551166,Randall Preserve,park
31974,2053551166,Sunset Ridge Park,park
31975,2053551166,Sunset View Park,park
31976,2053551166,38th Street Park,park
31977,2053551166,Lido Park,park
31978,2053551166,Trader Joe's,grocery store
31979,2053551166,Heller Park,park
31980,2053551166,Cliff Drive Park,park
31981,2053551166,Newport Heights Elementary School,school
31982,2053551166,Bolsa Park,park
31983,2053551166,Memorial Butterfly Garden,park
31985,2053551166,Newport Shores Park,park
31986,2053551166,Channel Park,park
31987,2053551166,Tree Of Life Park,park
31988,2053551166,John Wayne Park,park
31989,2053551166,,park
31991,2053551166,Costa Mesa,park
31992,25701507,Pavilions,grocery store
31993,25701507,Ensign Intermediate School,school
31994,25701507,Newport Harbor High School,school
31995,25701507,Sunset View Park,park
31996,25701507,38th Street Park,park
31997,25701507,Lido Park,park
31998,25701507,Newport Elementary,school
31999,25701507,Marina Park,park
32000,25701507,Cliff Drive Park,park
32001,25701507,Newport Heights Elementary School,school
32002,25701507,Bolsa Park,park
32003,25701507,Veterans Memorial Park,park
32004,25701507,Tree Of Life Park,park
32005,25701507,Newport Beach Park,park
32006,25701507,John Wayne Park,park
32007,25701507,Newport Beach,park
32008,25701507,Newport Heights,park
32009,25701507,Balboa Peninsula,park
32011,25701507,,park
32013,71325456,Civic Center Park,park
32014,71325456,Buck Gully Reserve,park
32016,71325456,Pavilions,grocery store
32017,71325456,San Joaquin Hills Park & Lawn Bowling Center,park
32018,71325456,Buffalo Hills Park,park
32019,71325456,Harbor View Nature Park,park
32020,71325456,San Miguel Park,park
32021,71325456,Spyglass Hill Park,park
32022,71325456,Abraham Lincoln Elementary School,school
32023,71325456,Bonita Canyon Sports Park West,park
32024,71325456,Bonita Canyon Sports Park,park
32025,71325456,Gelson's,grocery store
32026,71325456,Roy O Anderson Elementary School,school
32028,71325456,Fashion Island,park
32029,25686367,Pavilions,grocery store
32030,25686367,West Newport Park,park
32031,25686367,Whittier Elementary School,school
32032,25686367,Randall Preserve,park
32034,25686367,Sunset Ridge Park,park
32035,25686367,Sunset View Park,park
32036,25686367,38th Street Park,park
32037,25686367,Trader Joe's,grocery store
32038,25686367,Heller Park,park
32039,25686367,Cliff Drive Park,park
32040,25686367,Newport Heights Elementary School,school
32041,25686367,Bolsa Park,park
32042,25686367,Memorial Butterfly Garden,park
32044,25686367,Newport Shores Park,park
32045,25686367,Channel Park,park
32046,25686367,Tree Of Life Park,park
32047,25686367,,park
32049,25686367,Costa Mesa,park
32050,25686367,Newport Heights,park
32051,25465203,Pavilions,grocery store
32052,25465203,Ensign Intermediate School,school
32053,25465203,Newport Harbor High School,school
32054,25465203,38th Street Park,park
32055,25465203,Lido Park,park
32056,25465203,Newport Elementary,school
32057,25465203,Marina Park,park
32058,25465203,Cliff Drive Park,park
32059,25465203,Veterans Memorial Park,park
32060,25465203,Newport Beach Park,park
32061,25465203,John Wayne Park,park
32062,25465203,Newport Heights,park
32063,25465203,Balboa Peninsula,park
32065,25465203,,park
32073,25711873,Sherman Library & Gardens,park
32075,25711873,Bristol Farms,grocery store
32076,25711873,Crystal Cove State Park,park
32079,25711873,Civic Center Park,park
32080,25711873,Buck Gully Reserve,park
32082,25711873,Crystal Cove State Marine Conservation Area,park
32084,25711873,Bayside Dr Park,park
32085,25711873,Begonia Park,park
32086,25711873,San Joaquin Hills Park & Lawn Bowling Center,park
32087,25711873,Grant Howald Park,park
32088,25711873,Old School Park,park
32089,25711873,Abraham Lincoln Elementary School,school
32090,25711873,Harbor View Elementary School,school
32091,25711873,Mothers Market,grocery store
32092,25711873,Gelson's,grocery store
32093,25711873,Jasmine View Park,park
32094,25711873,Lookout Point,park
32095,25711873,Inspiration Point,park
32096,25711873,Corona del Mar,park
32097,2097851037,Sherman Library & Gardens,park
32099,2097851037,Bristol Farms,grocery store
32100,2097851037,Civic Center Park,park
32101,2097851037,Buck Gully Reserve,park
32103,2097851037,Crystal Cove State Marine Conservation Area,park
32105,2097851037,Bayside Dr Park,park
32106,2097851037,Begonia Park,park
32107,2097851037,Jetty View Park,park
32108,2097851037,Grant Howald Park,park
32109,2097851037,Old School Park,park
32110,2097851037,Harbor View Elementary School,school
32111,2097851037,Mothers Market,grocery store
32112,2097851037,Jasmine View Park,park
32113,2097851037,Lookout Point,park
32114,2097851037,Inspiration Point,park
32115,2097851037,Olive Oil and Beyond,grocery store
32116,2097851037,Balboa Peninsula,park
32117,2097851037,Irvine Terrace,park
32120,25136063,Pavilions,grocery store
32121,25136063,Ensign Intermediate School,school
32122,25136063,Newport Harbor High School,school
32123,25136063,Vons,grocery store
32124,25136063,Randall Preserve,park
32126,25136063,Sunset Ridge Park,park
32127,25136063,Sunset View Park,park
32128,25136063,38th Street Park,park
32129,25136063,Lido Park,park
32130,25136063,Marina Park,park
32131,25136063,Trader Joe's,grocery store
32132,25136063,Pinkley Park,park
32133,25136063,Heller Park,park
32134,25136063,Cliff Drive Park,park
32135,25136063,Harper Park,park
32136,25136063,Newport Heights Elementary School,school
32137,25136063,Harper School,school
32138,25136063,Ralphs,grocery store
32139,25136063,Bolsa Park,park
32140,25136063,Memorial Butterfly Garden,park
32142,25675903,Corona del Mar High School,school
32143,25675903,Bonita Creek Park,park
32144,25675903,Bonita Canyon Sports Park West,park
32145,25675903,Bonita Canyon Sports Park,park
32146,25675903,Upper Newport Bay Nature Preserve,park
32147,25675903,Volleyball BBQ Park,park
32148,25675903,Bag toss Park,park
32149,25675903,Newport Beach,park
32150,25675903,,school
32155,25675903,University Research Center,park
32157,25675903,University of California,park
32158,25675835,Whole Foods Market,grocery store
32159,25675835,Corona del Mar High School,school
32160,25675835,Pavilions,grocery store
32161,25675835,Buffalo Hills Park,park
32162,25675835,Harbor View Nature Park,park
32163,25675835,San Miguel Park,park
32164,25675835,Bonita Canyon Sports Park West,park
32165,25675835,Bonita Canyon Sports Park,park
32166,25675835,Roy O Anderson Elementary School,school
32168,25675835,Newport Beach,park
32172,25675835,Fashion Island,park
32173,25675835,,park
32175,25496575,Sherman Library & Gardens,park
32177,25496575,Bristol Farms,grocery store
32178,25496575,Whole Foods Market,grocery store
32179,25496575,Civic Center Park,park
32180,25496575,Buck Gully Reserve,park
32182,25496575,Bayside Dr Park,park
32183,25496575,Begonia Park,park
32184,25496575,San Joaquin Hills Park & Lawn Bowling Center,park
32185,25496575,Buffalo Hills Park,park
32186,25496575,Grant Howald Park,park
32187,25496575,Harbor View Nature Park,park
32188,25496575,Old School Park,park
32189,25496575,Abraham Lincoln Elementary School,school
32190,25496575,Harbor View Elementary School,school
32191,25496575,Mothers Market,grocery store
32192,25496575,Gelson's,grocery store
32193,25496575,Jasmine View Park,park
32194,25496575,Lookout Point,park
32195,25496575,Inspiration Point,park
32196,25496575,Irvine Terrace,park
32197,25676082,Corona del Mar High School,school
32198,25676082,Bonita Creek Park,park
32199,25676082,San Joaquin Marsh Reserve,park
32201,25676082,Bonita Canyon Sports Park West,park
32202,25676082,Upper Newport Bay Nature Preserve,park
32203,25676082,Volleyball BBQ Park,park
32204,25676082,Bag toss Park,park
32205,25676082,Newport Beach,park
32206,25676082,,school
32212,25676082,University Research Center,park
32214,25676082,University of California,park
32217,25479671,Corona del Mar High School,school
32218,25479671,Bonita Creek Park,park
32219,25479671,San Joaquin Marsh Reserve,park
32221,25479671,Upper Newport Bay Nature Preserve,park
32222,25479671,Volleyball BBQ Park,park
32223,25479671,Bag toss Park,park
32224,25479671,Newport Beach,park
32225,25479671,,school
32231,25479671,University Research Center,park
32233,25479671,University of California,park
32236,25136766,Pavilions,grocery store
32237,25136766,Ensign Intermediate School,school
32238,25136766,Newport Harbor High School,school
32239,25136766,Newport Elementary,school
32240,25136766,Marina Park,park
32241,25136766,Cliff Drive Park,park
32242,25136766,Westcliff Park,park
32243,25136766,Veterans Memorial Park,park
32244,25136766,John Wayne Park,park
32245,25136766,Back Bay View Park,park
32246,25136766,Balboa Island,park
32247,25136766,Newport Beach,park
32248,25136766,Balboa Peninsula,park
32250,25136766,,park
32258,25769590,Corona del Mar High School,school
32259,25769590,Bonita Creek Park,park
32260,25769590,Bonita Canyon Sports Park West,park
32261,25769590,Bonita Canyon Sports Park,park
32262,25769590,Volleyball BBQ Park,park
32263,25769590,Bag toss Park,park
32264,25769590,Newport Beach,park
32265,25769590,,school
32270,25769590,University Research Center,park
32272,25769590,University of California,park
32275,25676015,Corona del Mar High School,school
32276,25676015,Bonita Creek Park,park
32277,25676015,Bonita Canyon Sports Park West,park
32278,25676015,Bonita Canyon Sports Park,park
32279,25676015,Upper Newport Bay Nature Preserve,park
32280,25676015,Volleyball BBQ Park,park
32281,25676015,Bag toss Park,park
32282,25676015,Newport Beach,park
32283,25676015,,school
32289,25676015,University Research Center,park
32291,25676015,University of California,park
32294,25769574,Corona del Mar High School,school
32295,25769574,Buffalo Hills Park,park
32296,25769574,Harbor View Nature Park,park
32297,25769574,Bonita Canyon Sports Park West,park
32298,25769574,Bonita Canyon Sports Park,park
32299,25769574,Volleyball BBQ Park,park
32300,25769574,Roy O Anderson Elementary School,school
32302,25769574,Newport Beach,park
32307,25769574,University of California,park
32308,25769574,,park
32310,2055439433,Corona del Mar High School,school
32311,2055439433,Buffalo Hills Park,park
32312,2055439433,Harbor View Nature Park,park
32313,2055439433,Bonita Canyon Sports Park West,park
32314,2055439433,Bonita Canyon Sports Park,park
32315,2055439433,Volleyball BBQ Park,park
32316,2055439433,Roy O Anderson Elementary School,school
32318,2055439433,Newport Beach,park
32323,2055439433,University of California,park
32324,2055439433,,park
32326,25479824,Corona del Mar High School,school
32327,25479824,Bonita Creek Park,park
32328,25479824,San Joaquin Marsh Reserve,park
32330,25479824,Upper Newport Bay Nature Preserve,park
32331,25479824,Volleyball BBQ Park,park
32332,25479824,Bag toss Park,park
32333,25479824,Newport Beach,park
32334,25479824,,school
32340,25479824,University Research Center,park
32342,25479824,University of California,park
32345,25711791,Sherman Library & Gardens,park
32347,25711791,Bristol Farms,grocery store
32348,25711791,Civic Center Park,park
32349,25711791,Buck Gully Reserve,park
32351,25711791,Crystal Cove State Marine Conservation Area,park
32353,25711791,Bayside Dr Park,park
32354,25711791,Begonia Park,park
32355,25711791,San Joaquin Hills Park & Lawn Bowling Center,park
32356,25711791,Jetty View Park,park
32357,25711791,Grant Howald Park,park
32358,25711791,Old School Park,park
32359,25711791,Abraham Lincoln Elementary School,school
32360,25711791,Harbor View Elementary School,school
32361,25711791,Mothers Market,grocery store
32362,25711791,Gelson's,grocery store
32363,25711791,Jasmine View Park,park
32364,25711791,Lookout Point,park
32365,25711791,Inspiration Point,park
32366,25711791,Irvine Terrace,park
32367,25711791,Fashion Island,park
32368,25480624,OCFC,school
32369,25480624,Bonita Creek Park,park
32370,25480624,San Joaquin Marsh Reserve,park
32372,25480624,Back Bay/Monte Vista High School,school
32373,25480624,Upper Newport Bay Nature Preserve,park
32374,25480624,Newport Beach,park
32375,25480624,,school
32378,25480624,University Research Center,park
32379,25676196,OCFC,school
