schools
Thurston Middle
Top of the World Elementary
Laguna Hills High
Lomarena Elementary
Valencia Elementary
George White Elementary
Hidden Hills Elementary
John Malcom Elementary
Laguna Niguel Elementary
Marian Bergeson Elementary
Moulton Elementary
Niguel Hills Middle
El Toro High
La Madera Elementary
Lake Forest Elementary
Rancho Canada Elementary
Serrano Intermediate
Tesoro High
Francis Hopkinson Elementary
Jack L. Weaver Elementary
Los Alamitos Elementary
Los Alamitos High
Oak Middle
Richard Henry Lee Elementary
Rossmoor Elementary
Sharon Christa McAuliffe Middle
Las Flores Middle
Star View Elementary
Jessie Hayden Elementary
Bathgate Elementary
Capistrano Valley High
Carl Hankey Elementary
Carl Hankey Middle
Castille Elementary
Newhart Middle
Oxford Preparatory Academy - South Orange County
Philip J. Reilly Elementary/Special Education
Cordillera Elementary
De Portola Elementary
Del Cerro Elementary
La Paz Intermediate
Los Alisos Intermediate
Mission Viejo High
Montevideo Elementary
Trabuco Hills High
Corona del Mar High
Eastbluff Elementary
Horace Ensign Intermediate
Mariners Elementary
Newport Coast Elementary
Newport Elementary
Newport Harbor High
Newport Heights Elementary
Roy O. Andersen Elementary
Chapman Hills Elementary
El Modena High
Linda Vista Elementary
McPherson Magnet
Brookhaven Elementary
Charles Wagner Elementary
Col. J. K. Tuffree Middle
El Dorado High
Golden Elementary
John O. Tynes Elementary
Kraemer Middle
Morse Avenue Elementary
Parkview
Sierra Vista Elementary
Valencia High
Van Buren Elementary
Arroyo Vista Elementary
Arroyo Vista Middle
Las Flores Elementary
Tijeras Creek Elementary
Melinda Heights Elementary
Rancho Santa Margarita Intermediate
Trabuco Mesa Elementary
Bernice Ayer Middle
Concordia Elementary
San Clemente High
Shorecliffs Middle
Truman Benedict Elementary
Vista del Mar Elementary
Vista del Mar Middle
California Preparatory Academy
Capistrano Connections Academy
Capistrano Virtual/Home
San Juan Hills High
Samueli Academy
Panorama Elementary
Jim Thorpe Fundamental
Middle College High
Nova Academy
OCSA
Segerstrom High
Arroyo Elementary
Foothill High
Guin Foss Elementary
Hewes Middle
Red Hill Elementary
Tustin Memorial Elementary
J. H. McGaugh Elementary
Portola Hills Elementary
Robinson Elementary
Trabuco Elementary
Barbara Benson Elementary
Ladera Elementary
Peters Canyon Elementary
Pioneer Middle
Tustin Connect Center
Tustin High
Tustin Ranch Elementary
Serrano Elementary
Villa Park Elementary
Villa Park High
La Quinta High
Post Elementary
Sarah McGarvin Intermediate
Westminster High
Eastwood Elementary
Sequoia Elementary
Warner Middle
Bernardo Yorba Middle
Bryant Ranch Elementary
Fairmont Elementary
Glenknoll Elementary
Lakeview Elementary
Linda Vista Elementary
Mabel M. Paine Elementary
Rose Drive Elementary
Travis Ranch
Yorba Linda High
Yorba Linda Middle
